Species ID,Common Names
CHIS-1598,Blacktip Poacher
CHIS-1599,Bluespotted Poacher
CHIS-1600,Sablefish
CHIS-1601,Coralline Sculpin
CHIS-1602,Scalyhead Sculpin
CHIS-1603,Smoothhead Sculpin
CHIS-1604,Bonyhead Sculpin
CHIS-1605,Roughback Sculpin
CHIS-1606,Woolly Sculpin
CHIS-1607,Calico Sculpin
CHIS-1608,Mosshead Sculpin
CHIS-1609,Bald Sculpin
CHIS-1610,"Bullheads, Scaleless Sculpins, Sculpins"
CHIS-1611,Bull Sculpin
CHIS-1612,Brown Irish Lord
CHIS-1613,Pit-Head Sculpin
CHIS-1614,Threadfin Sculpin
CHIS-1615,Yellowchin Sculpin
CHIS-1616,Spotfin Sculpin
CHIS-1617,Lavender Sculpin
CHIS-1618,Rosy Sculpin
CHIS-1619,Fluffy Sculpin
CHIS-1620,Snubnose Sculpin
CHIS-1621,Darter Sculpin
CHIS-1622,Smoothgum Sculpin
CHIS-1623,Roughcheek Sculpin
CHIS-1624,Cabezon
CHIS-1625,Sailfin Sculpin
CHIS-1626,Kelp Greenling
CHIS-1627,Lingcod
CHIS-1628,Painted Greenling
CHIS-1629,Shortspine Combfish
CHIS-1630,Longspine Combfish
CHIS-1631,Slimy Snailfish
CHIS-1632,Showy Snailfish
CHIS-1633,California Scorpionfish
CHIS-1634,Rainbow Scorpionfish
CHIS-1635,"Rockcod, Rockfishes, Rosefishes"
CHIS-1636,Kelp Rockfish
CHIS-1637,Brown Rockfish
CHIS-1638,Redbanded Rockfish
CHIS-1639,Gopher Rockfish
CHIS-1640,Copper Rockfish
CHIS-1641,Greenspotted Rockfish
CHIS-1642,Black-And-Yellow Rockfish
CHIS-1643,Starry Rockfish
CHIS-1644,Calico Rockfish
CHIS-1645,Splitnose Rockfish
CHIS-1646,Widow Rockfish
CHIS-1647,Pink Rockfish
CHIS-1648,Yellowtail Rockfish
CHIS-1649,Chilipepper
CHIS-1650,Rosethorn Rockfish
CHIS-1651,Squarespot Rockfish
CHIS-1652,Shortbelly Rockfish
CHIS-1653,Cowcod
CHIS-1654,Mexican Rockfish
CHIS-1655,Quillback Rockfish
CHIS-1656,Black Rockfish
CHIS-1657,Blackgill Rockfish
CHIS-1658,Vermilion Rockfish
CHIS-1659,Blue Rockfish
CHIS-1660,China Rockfish
CHIS-1661,Speckled Rockfish
CHIS-1662,Bocaccio
CHIS-1663,Canary Rockfish
CHIS-1664,Grass Rockfish
CHIS-1665,Rosy Rockfish
CHIS-1666,Greenblotched Rockfish
CHIS-1667,Flag Rockfish
CHIS-1668,Stripetail Rockfish
CHIS-1669,Halfbanded Rockfish
CHIS-1670,Olive Rockfish
CHIS-1671,Treefish
CHIS-1672,Whitebelly Rockfish
CHIS-1673,Shortspine Thornyhead
CHIS-1674,Longspine Thornyhead
CHIS-1675,Spiny Dogfish
CHIS-1676,Pacific Angel Shark
CHIS-1677,Showy Bristlemouth
CHIS-1678,Spurred Hatchetfish
CHIS-1679,Silvery Hatchetfish
CHIS-1680,Bigeye Lightfish
CHIS-1681,Shiny Loosejaw
CHIS-1682,None
CHIS-1683,None
CHIS-1684,Finescale Triggerfish
CHIS-1685,Spotfin Burrfish
CHIS-1686,Ocean Sunfish
CHIS-1687,Spiny Boxfish
CHIS-1688,Pacific Electric Ray
CHIS-1689,None
CHIS-1690,None
CHIS-1691,None
CHIS-1692,Duckweed
CHIS-1693,Calla Lily
CHIS-1694,Fennel-Leaf Pondweed
CHIS-1695,Horned Pondweed
CHIS-1696,Ditch Grass
CHIS-1697,Surf-Grass
CHIS-1698,Surf-Grass
CHIS-1699,Eel-Grass
CHIS-1700,Eel-Grass
CHIS-1701,Wild Celery
CHIS-1702,Celery
CHIS-1703,Cut-Leaved Water Parsnip
CHIS-1704,"Hairy Bowlesia, Hoary Bowlesia"
CHIS-1705,Poison Hemlock
CHIS-1706,Rattlesnake Weed
CHIS-1707,Fennel
CHIS-1708,Caraway-Leaf Lomatium
CHIS-1709,Common Lomatium
CHIS-1710,Sharp-Toothed Snakeroot
CHIS-1711,Hoffmann's Snakeroot
CHIS-1712,"Canada Hedgeparsley, Hedge Parsley, Hedgeparsley, Spreading Hedgeparsley"
CHIS-1713,Knotted Hedge-Parsley
CHIS-1714,California Hedge-Parsley
CHIS-1715,California Fan Palm
CHIS-1716,Pitted Onion
CHIS-1717,Early Onion
CHIS-1718,Naked Lady
CHIS-1719,Jonquil
CHIS-1720,Century Plant
CHIS-1721,Golden Stars
CHIS-1722,Dwarf Brodiaea
CHIS-1723,Soap Plant
CHIS-1724,"Blue Dicks, Wild Hyacinth"
CHIS-1725,White Triteleia
CHIS-1726,African Cornflag
CHIS-1727,Iris
CHIS-1728,Blue-Eyed Grass
CHIS-1729,Stream Orchid
CHIS-1730,Rein Orchid
CHIS-1731,Michael's Rein Orchid
CHIS-1732,Yarrow
CHIS-1733,Blow Wives
CHIS-1734,Sacapellote
CHIS-1735,Seaside Dandelion
CHIS-1736,Large-Flowered Mountain-Dandelion
CHIS-1737,Mountain-Dandelion
CHIS-1738,Pineapple Weed
CHIS-1739,Annual Burweed
CHIS-1740,Beachbur
CHIS-1741,Western Ragweed
CHIS-1742,Mayweed
CHIS-1743,Burdock
CHIS-1744,Coastal Sagebrush
CHIS-1745,Mugwort
CHIS-1746,Island Sagebrush
CHIS-1747,Common California Aster
CHIS-1748,Rough-Leaved Aster
CHIS-1749,Slim Aster
CHIS-1750,Sticky Baccharis
CHIS-1751,Emory's Baccharis
CHIS-1752,Coyote Brush
CHIS-1753,Plummer's Baccharis
CHIS-1754,Seep-Willow
CHIS-1755,Common Stickyseed
CHIS-1756,California Boneset
CHIS-1757,Italian Thistle
CHIS-1758,Tocalote
CHIS-1759,Yellow Star Thistle
CHIS-1760,Pincushion Flower
CHIS-1761,Pineapple Weed
CHIS-1762,Crown Daisy
CHIS-1763,Chicory
CHIS-1764,Indian Thistle
CHIS-1765,Cobwebby Thistle
CHIS-1766,California Thistle
CHIS-1767,Cobwebby Thistle
CHIS-1768,Red Thistle
CHIS-1769,Beaumont Thistle
CHIS-1770,Bull Thistle
CHIS-1771,Blessed Thistle
CHIS-1772,Flaxed-Leaved Fleabane
CHIS-1773,Horseweed
CHIS-1774,Coulter's Conyza
CHIS-1775,Giant Coreopsis
CHIS-1776,Australian Brass Buttons
CHIS-1777,Brass Buttons
CHIS-1778,Bush Sunflower
CHIS-1779,Australasian Fireweed
CHIS-1780,"Goldenbush, Heath Goldenrod, Heathgoldenrod"
CHIS-1781,Mock Heather
CHIS-1782,Fleabane
CHIS-1783,Fleabane
CHIS-1784,Fleabane
CHIS-1785,Seaside Daisy
CHIS-1786,Saint's Daisy
CHIS-1787,Golden Yarrow
CHIS-1788,Silver Lace
CHIS-1789,Seaside Woolly Sunflower
CHIS-1790,Western Goldenrod
CHIS-1791,Arizona Cottonrose
CHIS-1792,"California Cottonrose, California Fluffweed"
